Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,184.199997,195.000000,178.250000,186.199997,181.017242,8022954
2020-01-08,183.000000,194.600006,180.500000,190.399994,185.100357,6916853
2020-01-15,190.000000,194.899994,183.000000,183.500000,178.392426,5300680
2020-01-22,185.000000,186.399994,166.699997,167.399994,162.740540,3474626
2020-01-29,168.399994,175.800003,152.250000,157.149994,152.775833,5127524
2020-02-05,157.500000,170.899994,153.550003,159.100006,154.671585,5754568
2020-02-12,160.000000,177.399994,159.550003,163.250000,158.706055,6926158
2020-02-19,165.899994,167.800003,157.250000,159.350006,154.914612,1978085
2020-02-26,158.000000,158.000000,137.000000,142.850006,138.873886,4319118
2020-03-04,144.699997,144.699997,116.199997,123.150002,119.722206,4123182
2020-03-11,123.250000,126.949997,86.150002,102.099998,99.258125,7677539
2020-03-18,102.199997,103.699997,68.949997,72.750000,70.725060,5232764
2020-03-25,73.000000,104.050003,69.550003,104.050003,101.153847,3018675
2020-04-01,109.250000,120.400002,104.150002,120.400002,117.048759,2103701
2020-04-08,123.849998,132.699997,116.849998,116.849998,113.597565,2138810
2020-04-15,112.099998,116.300003,99.300003,100.250000,97.459618,4691814
2020-04-22,99.050003,103.199997,97.449997,98.800003,96.049980,2326605
2020-04-29,99.650002,101.750000,92.500000,92.750000,90.168373,1911641
2020-05-06,93.599998,101.500000,92.349998,92.800003,90.216988,2086052
2020-05-13,96.000000,96.000000,84.099998,84.550003,82.196617,3192317
2020-05-20,84.150002,97.349998,83.650002,94.900002,92.258530,3070178
2020-05-27,96.699997,106.500000,95.699997,104.199997,101.299667,4758262
2020-06-03,106.199997,132.949997,105.000000,124.500000,121.034630,13129610
2020-06-10,125.150002,141.699997,123.300003,127.800003,124.242783,16900150
2020-06-17,126.699997,135.300003,124.150002,134.850006,131.096542,9591381
2020-06-24,141.000000,141.000000,127.150002,134.050003,130.318832,13573927
2020-07-01,135.199997,142.000000,126.449997,133.100006,129.395264,14137791
2020-07-08,133.300003,135.449997,123.000000,129.600006,125.992691,10850723
2020-07-15,129.500000,129.500000,124.000000,124.800003,121.326286,6741680
2020-07-22,125.800003,133.399994,124.000000,128.949997,125.360771,9857914
2020-07-29,129.399994,129.750000,125.050003,126.650002,123.124794,3623190
2020-08-05,125.050003,148.800003,125.050003,142.000000,138.047546,18734913
2020-08-12,140.500000,155.000000,138.500000,150.949997,146.748413,15137598
2020-08-19,151.250000,165.399994,145.800003,160.949997,156.470078,14027600
2020-08-26,161.550003,161.550003,143.000000,155.250000,150.928741,8680341
2020-09-02,156.649994,162.449997,147.000000,149.250000,145.095734,4571619
2020-09-09,147.449997,157.800003,141.600006,156.800003,152.435593,6661833
2020-09-16,156.949997,161.899994,141.149994,152.250000,148.012238,6893355
2020-09-23,152.000000,153.649994,140.000000,149.350006,145.192963,3438791
2020-09-30,150.100006,156.600006,149.699997,150.300003,146.116516,2926004
2020-10-07,149.250000,163.800003,148.350006,156.800003,152.435593,4847278
2020-10-14,157.149994,164.850006,147.500000,162.750000,158.219971,4800483
2020-10-21,164.000000,164.500000,155.699997,161.699997,157.199188,2973393
2020-10-28,162.250000,169.800003,149.550003,151.000000,146.797028,7748553
2020-11-04,151.850006,153.949997,147.699997,148.699997,144.561035,4946046
2020-11-11,149.399994,155.600006,147.800003,153.199997,148.935791,4058320
2020-11-18,153.250000,157.750000,148.500000,155.100006,150.782913,4031001
2020-11-25,155.600006,174.649994,153.500000,174.149994,169.302658,9713216
2020-12-02,173.000000,173.000000,159.449997,162.199997,157.685287,7059727
2020-12-09,163.300003,183.600006,159.149994,182.149994,177.079987,11655947
